"id","slug","title","title_eng","link","year","description","releaseYear","rating","star","runtime","network","status","trailer","recommendationScore","__drizzlerowid__"
"54","kralice","Kraliçe","Queen","https://www.imdb.com/title/ttXXXXXXX/","2022","A drama about a woman who rises to power and becomes a queen.","2022","8.0","8.2","60 min","Fox","Ended","https://www.youtube.com/watch?v=XXXXXXX","8","54"
"55","fedakar","Fedakar","The Sacrificer","https://www.imdb.com/title/ttXXXXXXX/","2023","A drama about a man who makes sacrifices for his loved ones.","2023","7.6","7.8","55 min","TRT1","Ongoing","https://www.youtube.com/watch?v=XXXXXXX","7.6","55"
"56","kan-cicekleri","Kan Çiçekleri","Blood Flowers","https://www.imdb.com/title/ttXXXXXXX/","2023","A gripping drama about love and family feuds.","2023","7.5","7.8","60 min","ATV","Ongoing","https://www.youtube.com/watch?v=XXXXXXX","7.5","56"
"57","aile","Aile","Family","https://www.imdb.com/title/ttXXXXXXX/","2023","A heartwarming story about the bonds of family.","2023","8.0","8.2","60 min","Show TV","Ongoing","https://www.youtube.com/watch?v=XXXXXXX","8","57"
"58","adim-farah","Adım Farah","My Name is Farah","https://www.imdb.com/title/ttXXXXXXX/","2023","A thrilling story of a woman who fights for justice.","2023","7.8","8.1","60 min","Kanal D","Ongoing","https://www.youtube.com/watch?v=XXXXXXX","7.8","58"
"59","veda-mektubu","Veda Mektubu","Farewell Letter","https://www.imdb.com/title/ttXXXXXXX/","2022","A touching story of love and goodbyes.","2022","7.5","7.7","55 min","Star TV","Ended","https://www.youtube.com/watch?v=XXXXXXX","7.5","59"
"60","ego","Ego","Ego","https://www.imdb.com/title/ttXXXXXXX/","2023","A psychological drama exploring the depths of human emotion.","2023","8.1","8.3","60 min","Kanal D","Ongoing","https://www.youtube.com/watch?v=XXXXXXX","8.1","60"
"61","dokuz-oguz","Dokuz Oğuz","Nine Oghuz","https://www.imdb.com/title/ttXXXXXXX/","2022","A historical drama about the legendary Oghuz Turks.","2022","7.6","7.8","60 min","TRT1","Ended","https://www.youtube.com/watch?v=XXXXXXX","7.6","61"
"62","al-sancak","Al Sancak","Red Flag","https://www.imdb.com/title/ttXXXXXXX/","2023","A military drama about courage and sacrifice.","2023","8.0","8.2","60 min","Kanal D","Ongoing","https://www.youtube.com/watch?v=XXXXXXX","8","62"
"63","ates-kuslari","Ateş Kuşları","Firebirds","https://www.imdb.com/title/ttXXXXXXX/","2023","A drama about firefighters and their struggles.","2023","7.9","8.1","60 min","Star TV","Ongoing","https://www.youtube.com/watch?v=XXXXXXX","7.9","63"
"64","tacsiz-prenses","Taçsız Prenses","Crownless Princess","https://www.imdb.com/title/ttXXXXXXX/","2022","A fairy tale about love and loss.","2022","7.5","7.7","55 min","Kanal D","Ended","https://www.youtube.com/watch?v=XXXXXXX","7.5","64"
"65","omer","Ömer","Omer","https://www.imdb.com/title/ttXXXXXXX/","2023","A touching story of a young man navigating life.","2023","7.8","8","60 min","Show TV","Ongoing","https://www.youtube.com/watch?v=XXXXXXX","7.8","65"
"66","muhtesem-yuzyil","Muhteşem Yüzyıl","Magnificent Century","https://www.imdb.com/title/ttXXXXXXX/","2011","A historical drama about the reign of Suleiman the Magnificent.","2011","8.4","8.6","60 min","Star TV","Ended","https://www.youtube.com/watch?v=XXXXXXX","8.4","66"
"67","menekse-ile-halil","Menekşe ile Halil","Menekşe and Halil","https://www.imdb.com/title/ttXXXXXXX/","2022","A romantic drama about two lovers from different backgrounds.","2022","7.7","7.9","55 min","Kanal D","Ended","https://www.youtube.com/watch?v=XXXXXXX","7.7","67"
"68","sifirinci-gun","Sıfırıncı Gün","Zero Day","https://www.imdb.com/title/ttXXXXXXX/","2023","A thriller about a day that changes everything.","2023","8.0","8.2","60 min","TRT1","Ongoing","https://www.youtube.com/watch?v=XXXXXXX","8","68"
"69","barbaros-hayreddin-sultanin-fermani","Barbaros Hayreddin Sultanın Fermanı","Barbaros Hayreddin Sultans Decree","https://www.imdb.com/title/ttXXXXXXX/","2022","A historical drama about the legendary admiral Barbaros.","2022","7.9","8.1","60 min","TRT1","Ended","https://www.youtube.com/watch?v=XXXXXXX","7.9","69"
"70","sipahi","Sipahi","The Cavalryman","https://www.imdb.com/title/ttXXXXXXX/","2023","A military drama about the life of a cavalryman.","2023","7.8","8","60 min","Kanal D","Ongoing","https://www.youtube.com/watch?v=XXXXXXX","7.8","70"
"71","cop-adam","Cop Adam","Cop Man","https://www.imdb.com/title/ttXXXXXXX/","2023","A gripping drama about a dedicated police
officer fighting crime.","2023","7.8","8","60 min","Kanal D","Ongoing","https://www.youtube.com/watch?v=XXXXXXX","7.8","71"
"72","duy-beni","Duy Beni","Hear Me","https://www.imdb.com/title/ttXXXXXXX/","2023","A touching story about love and understanding.","2023","7.5","7.7","60 min","ATV","Ongoing","https://www.youtube.com/watch?v=XXXXXXX","7.5","72"
"73","guzel-gunler","Güzel Günler","Beautiful Days","https://www.imdb.com/title/ttXXXXXXX/","2023","A heartwarming story about family and friendship.","2023","8.0","8.2","60 min","Star TV","Ongoing","https://www.youtube.com/watch?v=XXXXXXX","8","73"
"74","yurek-cikmazi","Yürek Çıkmazı","Heart Deadlock","https://www.imdb.com/title/ttXXXXXXX/","2022","A drama about love and the struggles of the heart.","2022","7.6","7.8","60 min","Kanal D","Ended","https://www.youtube.com/watch?v=XXXXXXX","7.6","74"
"75","kizilcik-serbeti","Kızılcık Şerbeti","Cornelian Cherry","https://www.imdb.com/title/ttXXXXXXX/","2023","A family drama centered around love and betrayal.","2023","7.9","8.1","60 min","Show TV","Ongoing","https://www.youtube.com/watch?v=XXXXXXX","7.9","75"
"76","darmaduman","Darmaduman","Chaos","https://www.imdb.com/title/ttXXXXXXX/","2023","A story about the chaos in modern relationships.","2023","7.4","7.6","60 min","Kanal D","Ongoing","https://www.youtube.com/watch?v=XXXXXXX","7.4","76"
"77","tuzak","Tuzak","Trap","https://www.imdb.com/title/ttXXXXXXX/","2023","A suspenseful drama about traps set in relationships.","2023","8.1","8.3","60 min","ATV","Ongoing","https://www.youtube.com/watch?v=XXXXXXX","8.1","77"
"78","hayat-bugun","Hayat Bugün","Life Today","https://www.imdb.com/title/ttXXXXXXX/","2023","A drama about the challenges of everyday life.","2023","7.7","7.9","60 min","Star TV","Ongoing","https://www.youtube.com/watch?v=XXXXXXX","7.7","78"
"79","yesilcam","Yeşilçam","Green Pine","https://www.imdb.com/title/ttXXXXXXX/","2022","A nostalgic look at the golden age of Turkish cinema.","2022","8.2","8.4","60 min","Kanal D","Ended","https://www.youtube.com/watch?v=XXXXXXX","8.2","79"
"80","ben-bu-cihana-sigmazam","Ben Bu Cihana Sığmazam","I Can’t Fit in This World","https://www.imdb.com/title/ttXXXXXXX/","2023","A story about a man struggling to find his place in the world.","2023","7.8","8","60 min","ATV","Ongoing","https://www.youtube.com/watch?v=XXXXXXX","7.8","80"
"81","gecenin-ucunda","Gecenin Ucunda","At the End of the Night","https://www.imdb.com/title/ttXXXXXXX/","2023","A drama about the struggles faced at night.","2023","7.6","7.8","60 min","Star TV","Ongoing","https://www.youtube.com/watch?v=XXXXXXX","7.6","81"
"82","bir-peri-masali","Bir Peri Masalı","A Fairy Tale","https://www.imdb.com/title/ttXXXXXXX/","2023","A romantic fantasy about love and magic.","2023","8.0","8.2","60 min","Kanal D","Ongoing","https://www.youtube.com/watch?v=XXXXXXX","8","82"
"83","sadece-arkadasiz","Sadece Arkadaşız","We Are Just Friends","https://www.imdb.com/title/ttXXXXXXX/","2023","A romantic comedy about friendship and love.","2023","7.5","7.7","60 min","Show TV","Ongoing","https://www.youtube.com/watch?v=XXXXXXX","7.5","83"
"84","aldatmak","Aldatmak","To Deceive","https://www.imdb.com/title/ttXXXXXXX/","2023","A suspenseful drama about betrayal and deception.","2023","7.9","8.1","60 min","ATV","Ongoing","https://www.youtube.com/watch?v=XXXXXXX","7.9","84"
"85","o-kiz","O Kız","That Girl","https://www.imdb.com/title/ttXXXXXXX/","2023","A coming-of-age story about a young girl.","2023","7.7","7.9","60 min","Show TV","Ongoing","https://www.youtube.com/watch?v=XXXXXXX","7.7","85"
"86","senden-daha-guzel","Senden Daha Güzel","More Beautiful Than You","https://www.imdb.com/title/ttXXXXXXX/","2023","A romantic drama exploring beauty and self-acceptance.","2023","8.1","8.3","60 min","Kanal D","Ongoing","https://www.youtube.com/watch?v=XXXXXXX","8.1","86"
"87","bir-kucuk-gun-isigi","Bir Küçük Gün Işığı","A Little Ray of Sunshine","https://www.imdb.com/title/ttXXXXXXX/","2023","A heartwarming story about hope and new beginnings.","2023","7.8","8","60 min","ATV","Ongoing","https://www.youtube.com/watch?v=XXXXXXX","7.8","87"
"88","kusursuz-kiraci","Kusursuz Kiracı","Perfect Tenant","https://www.imdb.com/title/ttXXXXXXX/","2023","A suspenseful thriller about a perfect tenant with a dark secret.","2023","7.9","8.1","60 min","Show TV","Ongoing","https://www.youtube.com/watch?v=XXXXXXX","7.9","88"
"89","ah-nerede","Ah Nerede","Oh Where","https://www.imdb.com/title/ttXXXXXXX/","2023","A drama that explores the themes of loss and longing.","2023","7.5","7.8","60 min","Kanal D","Ongoing","https://www.youtube.com/watch?v=XXXXXXX","7.5","89"
"90","gelsin-hayat-bildigi-gibi","Gelsin Hayat Bildiği Gibi","Let Life Come As It Knows","https://www.imdb.com/title/ttXXXXXXX/","2023","A drama about life’s unexpected turns and friendships.","2023","7.5","7.8","60 min","Show TV","Ongoing","https://www.youtube.com/watch?v=XXXXXXX","7.5","90"
"91","seni-kalbime-sakladim","Seni Kalbime Sakladım","I Kept You in My Heart","https://www.imdb.com/title/ttXXXXXXX/","2023","A romantic drama about hidden feelings and love.","2023","7.8","8","60 min","ATV","Ongoing","https://www.youtube.com/watch?v=XXXXXXX","7.8","91"
"92","tozluyaka","Tozluyaka","Dusty Road","https://www.imdb.com/title/ttXXXXXXX/","2023","A story about the struggles of youth and friendship.","2023","7.6","7.9","60 min","Kanal D","Ongoing","https://www.youtube.com/watch?v=XXXXXXX","7.6","92"
"93","cukur","Çukur","The Pit","https://www.imdb.com/title/ttXXXXXXX/","2017","A gripping drama about a family and their control over a neighborhood.","2017","8.2","8.5","60 min","Show TV","Ended","https://www.youtube.com/watch?v=XXXXXXX","8.2","93"
"94","balkan-ninnisi","Balkan Ninnisi","Balkan Lullaby","https://www.imdb.com/title/ttXXXXXXX/","2023","A drama exploring the lives of families in the Balkans.","2023","7.4","7.6","60 min","TRT1","Ongoing","https://www.youtube.com/watch?v=XXXXXXX","7.4","94"
"95","icimizdeki-ates","İçimizdeki Ateş","The Fire Within Us","https://www.imdb.com/title/ttXXXXXXX/","2023","A story about passion and ambition in a competitive world.","2023","7.7","7.9","60 min","Star TV","Ongoing","https://www.youtube.com/watch?v=XXXXXXX","7.7","95"
"96","sevmek-zamani","Sevmek Zamanı","Time to Love","https://www.imdb.com/title/ttXXXXXXX/","2023","A romantic drama about the challenges of love.","2023","7.8","8","60 min","Kanal D","Ongoing","https://www.youtube.com/watch?v=XXXXXXX","7.8","96"
"97","gul-masali","Gül Masalı","Rose Tale","https://www.imdb.com/title/ttXXXXXXX/","2023","A fairy tale about love and sacrifice.","2023","7.5","7.7","60 min","ATV","Ongoing","https://www.youtube.com/watch?v=XXXXXXX","7.5","97"
"98","gizli-sakli","Gizli Saklı","Hidden Secrets","https://www.imdb.com/title/ttXXXXXXX/","2023","A suspenseful drama about secrets and revelations.","2023","7.6","7.8","60 min","Show TV","Ongoing","https://www.youtube.com/watch?v=XXXXXXX","7.6","98"
"99","kaderimin-oyunu","Kaderimin Oyunu","The Game of My Destiny","https://www.imdb.com/title/ttXXXXXXX/","2023","A drama about fate and the choices we make.","2023","7.9","8.1","60 min","ATV","Ongoing","https://www.youtube.com/watch?v=XXXXXXX","7.9","99"
"100","seversin","Seversin","You Will Love","https://www.imdb.com/title/ttXXXXXXX/","2023","A romantic comedy about unexpected love.","2023","8.0","8.2","60 min","Kanal D","Ongoing","https://www.youtube.com/watch?v=XXXXXXX","8","100"
"101","ask-mantik-intikam","Aşk Mantık İntikam","Love Logic Revenge","https://www.imdb.com/title/tt13693876/","2021","A romantic comedy about love and revenge in the modern world.","2021","7.1","7.5","120 min","Fox","Ended","https://www.youtube.com/watch?v=XXXXXXX","7.1","101"
"102","iyilik","İyilik","Goodness","https://www.imdb.com/title/tt13693877/","2022","A drama that explores the themes of kindness and compassion.","2022","7.3","7.6","60 min","Kanal D","Ongoing","https://www.youtube.com/watch?v=XXXXXXX","7.3","102"
"103","annenin-sirridir-cocuk","Annenin Sırrıdır Çocuk","A Mother’s Secret is a Child","https://www.imdb.com/title/tt13693878/","2022","A touching story about motherhood and the secrets that bind families.","2022","7.5","7.8","60 min","Star TV","Ongoing","https://www.youtube.com/watch?v=XXXXXXX","7.5","103"
"104","hakim","Hakim","The Judge","https://www.imdb.com/title/tt13693879/","2022","A legal drama that follows the life of a judge navigating the complexities of justice.","2022","8.0","8.2","60 min","Kanal D","Ongoing","https://www.youtube.com/watch?v=XXXXXXX","8","104"
"105","kasaba-doktoru","Kasaba Doktoru","Town Doctor","https://www.imdb.com/title/tt13693880/","2022","A drama about the challenges faced by a small-town doctor.","2022","7.4","7.7","60 min","TRT1","Ongoing","https://www.youtube.com/watch?v=XXXXXXX","7.4","105"
"106","gulümse-kaderine","Gülümse Kaderine","Smile at Your Destiny","https://www.imdb.com/title/tt13693881/","2022","A romantic drama about fate and love.","2022","7.6","7.9","60 min","Kanal D","Ongoing","https://www.youtube.com/watch?v=XXXXXXX","7.6","106"
"108","adi-sevgi","Adı Sevgi","Name is Love","https://www.imdb.com/title/tt13693883/","2022","A romantic story exploring the meaning of love.","2022","7.7","8","60 min","Kanal D","Ongoing","https://www.youtube.com/watch?v=XXXXXXX","7.7","108"
